,C22008638LR01-ISM012-042-Day2-940,C22008619LR01-sham-Day2-951,C22008628LR01-Vehicle-Day2-935,C22008626LR01-Vehicle-Day2-986,C22008627LR01-Vehicle-Day2-975,C22008621LR01-sham-Day2-992,C22008624LR01-Vehicle-Day2-966,C22008640LR01-ISM012-042-Day2-976,C22008639LR01-ISM012-042-Day2-1000,C22008637LR01-ISM012-042-Day2-967,C22008620LR01-sham-Day2-981,C22008623LR01-sham-Day2-995,C22008618LR01-sham-Day2-942,C22008641LR01-ISM012-042-Day2-950,C22008622LR01-sham-Day2-953,C22008625LR01-Vehicle-Day2-977,C22008629LR01-Vehicle-Day2-999,C22008636LR01-ISM012-042-Day2-963
Lrfn3,3.721,2.575,2.376,2.368,1.959,3.894,2.365,2.463,2.965,4.565,2.672,4.062,4.277,4.86,2.627,2.613,2.807,3.864
Gm42376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm32029,0.61,0.163,0.301,0,0.324,0.462,0.364,0,0.204,2.05,0,0.084,0.147,0.144,0.217,1.695,0.29,0.071
Tyrobp,111.893,39.612,37.297,21.086,41.53,31.948,163.476,31.938,36.658,317.524,16.433,26.514,38.195,36.071,38.21,287.753,45.152,33.02
Hcst,8.48,5.207,6.722,3.034,4.977,3.223,2.681,3.641,4.845,10.644,4.443,4.267,3.405,4.132,6.696,10.226,4.814,1.693
Nfkbid,9.327,2.895,1.747,1.179,1.373,4.405,4.131,1.607,1.99,6.505,2.516,2.251,2.261,1.578,2.456,16.855,2.435,1.308
Aplp1,12.512,7.865,10.065,11.55,10.526,6.185,10.912,6.286,11.627,14.476,6.178,13.618,16.303,13.26,8.43,12.954,11.284,10.65
Kirrel2,0.193,0.063,0.04,0.023,0.026,0.06,0.111,0,0.106,0.091,0.025,0.032,0.056,0.057,0,0.081,0.315,0.056
LOC108167417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nphs1,0.231,0.066,0.185,0.161,0,0,0,0,0.075,0,0,0.023,0.04,0,0,0,0,0
Nphs1os,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prodh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap33os,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap33,3.2,2.783,1.125,1.501,1.555,2.744,1.797,1.178,1.683,4.08,2.763,2.161,1.742,2.446,3.291,1.366,2.011,1.939
Proser3,3.158,1.486,0.968,0.705,1.373,1.679,1.422,1.56,1.831,3.198,1.902,1.425,1.167,2.618,1.627,1.512,1.858,1.061
