,C22008638LR01-ISM012-042-Day2-940,C22008619LR01-sham-Day2-951,C22008628LR01-Vehicle-Day2-935,C22008626LR01-Vehicle-Day2-986,C22008627LR01-Vehicle-Day2-975,C22008621LR01-sham-Day2-992,C22008624LR01-Vehicle-Day2-966,C22008640LR01-ISM012-042-Day2-976,C22008639LR01-ISM012-042-Day2-1000,C22008637LR01-ISM012-042-Day2-967,C22008620LR01-sham-Day2-981,C22008623LR01-sham-Day2-995,C22008618LR01-sham-Day2-942,C22008641LR01-ISM012-042-Day2-950,C22008622LR01-sham-Day2-953,C22008625LR01-Vehicle-Day2-977,C22008629LR01-Vehicle-Day2-999,C22008636LR01-ISM012-042-Day2-963
LOC102635990,0.018,0.013,0.004,0,0,0.043,0.035,0,0.005,0.012,0.014,0.061,0.018,0.011,0.034,0.034,0.04,0
Gm4924,3.097,2.972,1.617,1.861,1.947,3.944,2.839,3.296,3.944,3.092,1.842,3.923,3.103,4.139,2.519,2.845,3.741,2.697
Gm1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201
Gm40721,0.35,0.316,0.204,0.137,0.151,0.451,0.071,0.342,0.227,0.228,0.325,0.694,0.108,0.486,0.451,0.343,0.314,0.34
1190007I07Rik,14.108,16.978,9.78,9.771,14.365,23.492,15.488,12.731,18.094,16.202,16.67,16.32,17.927,16.518,17.522,19.043,17.638,19.302
Tdg,2.892,1.677,1.131,1.617,1.215,2.92,2.731,1.891,2.956,3.71,1.457,2.533,2.293,2.186,1.546,3.432,4.292,3.715
Glt8d2,1.232,0.811,0.254,0.57,0.408,0.588,0.341,0.264,0.318,0.549,0.616,1.134,0.607,1.09,0.925,0.413,0.295,0.371
Hcfc2,9.565,7.871,2.653,4.774,6.883,7.933,9.48,7.753,9.404,13.004,4.448,8.929,7.468,10.802,6.516,13.084,9.814,10.74
Nfyb,16.764,14.397,8.952,9.384,12.386,16.169,16.895,13.757,13.464,21.477,9.182,14.575,18.104,13.98,12.696,22.691,20.116,19.26
1700028I16Rik,0.153,0.112,0,0,0,0,0,0,0,0.108,0,0,0,0,0.1,0,0,0
Txnrd1,94.805,81.56,40.579,72.29,58.963,104.951,86.891,76.736,87.481,132.37,76.023,80.632,78.473,84.329,79.882,154.463,120.02,114.647
Gm38560,0.988,1.062,1.182,1.02,1.193,1.632,1.35,2.208,1.693,0.951,0.827,1.295,1.216,1.046,1.044,2.294,1.301,1.375
Eid3,0.752,0.338,0.051,0.06,0.067,1.132,0.608,0.405,0.356,0.572,0.449,0.088,0.077,0.377,0.149,1.178,0.456,0.669
Gm33781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chst11,3.516,1.732,1.684,2.12,2.764,0.926,2.8,3.954,3.218,12.525,0.85,2.093,1.19,1.568,1.435,10.77,3.979,4.748
Slc41a2,9.511,8.099,2.792,3.894,7.99,14.074,10.169,6.654,6.436,10.911,5.681,8.21,8.492,11.407,9.531,7.791,6.896,10.855
Gm40722,0.292,0.861,0,0,0,0.41,0,0,0,0,0,0,0,0.381,0,0,0,0
Gm40723,0.15,0.219,0,0,0,1.18,0,0,0,0.213,0.223,0,0,0,0.258,0.192,0.262,0.128
D10Wsu102e,17.528,12.46,4.514,7.294,7.385,16.892,13.685,7.482,10.53,18.651,8.199,9.43,8.976,10.661,12.142,17.098,13.642,11.879
Aldh1l2,1.107,0.763,0.16,0.279,1.252,0.35,1.52,0.226,0.836,4.998,0.278,0.622,1.514,2.042,0.644,3.396,1.683,3.163
A230046K03Rik,12.749,10.493,3.524,5.376,6.169,10.975,13.227,8.116,10.356,16.242,5.273,10.242,11.261,10.938,9.627,14.101,12.148,9.859
Appl2,116.526,116.814,35.841,56.343,56.333,201.509,104.765,86.809,97.216,85.781,91.184,130.957,134.165,144.492,113.756,65.088,74.883,73.875
1500009L16Rik,7.322,7.131,4.387,7.491,7.016,7.512,6.863,7.591,7.729,12.701,6.402,4.193,9.019,9.107,6.421,13.753,10.804,9.44
Gm33919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm33980,0,0,0,0,0.033,0,0,0,0.035,0,0,0,0,0,0,0,0,0
Gm34043,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
Gm40725,0,0,0,0,0.02,0.049,0,0,0,0.025,0,0,0,0,0,0.045,0,0
Gm40726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34113,0,0.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm40727,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC108167783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuak1,1.663,1.312,0.939,0.532,1.427,1.472,0.827,0.916,0.766,2.329,0.661,0.806,0.432,1.081,1.113,1.148,0.798,0.964
4930463O16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34405,0,0,0,0,0,0,0.083,0,0,0,0,0,0,0.065,0,0.061,0,0
Ckap4,21.941,14.754,7.646,8.111,20.584,8.88,23.879,8.62,11.544,80.166,10.916,10.392,10.851,16.158,10.57,42.816,22.147,23.052
Platr7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,0,0
Gm34515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcp11l2,14.76,10.792,6.678,10.009,6.587,12.259,9.254,9.227,10.223,12.543,7.582,8.453,8.306,8.455,9.096,9.182,4.771,5.843
LOC102637873,0.064,0.063,0.018,0.033,0.024,0.105,0.028,0.087,0.078,0.045,0.162,0.147,0.143,0.111,0.068,0.041,0.042,0.055
Polr3b,13.684,8.934,3.505,4.738,5.782,13.716,12.352,7.762,10.423,12.698,6.446,8.885,9.059,11.786,8.369,13.007,11.945,12.097
Rfx4,0,0,0,0,0,0,0,0,0.026,0.03,0,0,0,0,0,0,0,0
Gm40728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ric8b,6.759,5.408,3.587,4.162,5.229,6.38,5.167,6.125,6.855,7.926,4.277,7.501,7.687,9.681,5.59,6.997,6.818,6.215
Gm34633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fhl4,0.108,0,0.112,0.054,0.091,0.076,0.036,0,0.067,0.114,0.029,0.083,0.036,0,0.069,0.035,0.107,0
Tmem263,12.669,11.818,6.449,4.8,11.969,10.418,17.959,8.303,9.746,23.199,5.509,10.567,12.181,15.701,8.796,17.155,13.677,14.451
Mterf2,7.244,6.634,2.18,4.208,3.421,12.098,4.164,5.502,7.086,4.682,6.113,5.333,6.281,6.365,5.829,4.143,5.169,3.453
Cry1,10.925,7.579,6.847,8.407,12.502,4.923,8.777,8.318,9.519,12.552,3.384,19.992,24.891,15.901,6.967,12.674,11.049,12.869
Gm34712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0
Gm40730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btbd11,2.135,0.287,0.342,0.327,0.419,0.274,2.605,0.349,0.517,1.227,0.228,0.439,0.439,0.574,0.423,0.908,0.856,0.652
Gm40731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm6713,0.046,0.014,0,0.01,0.011,0.027,0.025,0.022,0.024,0,0.022,0.043,0,0.052,0.013,0.024,0,0.012
Gm40732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pwp1,17.338,10.771,5.713,7.903,11.658,12.215,16.013,12.169,13.301,19.811,8.006,11.01,11.111,14.684,11.069,29.46,21.776,18.965
Prdm4,15.734,11.347,5.236,10.54,7.959,14.172,11.063,9.891,12.635,16.045,9.56,12.373,13.941,11.344,12.797,14.389,13.352,13.843
Ascl4,0,0.336,0,0,0,0.324,0,0,0,0,0.168,0.228,0,0,0.491,0.197,0.196,0
Rtcb,113.965,88.032,52.796,69.967,67.638,104.038,111.859,84.484,100.51,102.925,63.456,86.13,81.662,95.182,84.678,102.908,103.1,92.418
Bpifc,0,0,0.051,0,0,0.124,0.039,0,0,0,0,0,0,0,0,0.075,0,0
Fbxo7,16.272,13.793,7.104,12.185,11.087,13.097,14.063,11.703,14.748,12.71,11.758,13.887,12.576,12.898,13.839,11.662,15.022,12.802
Syn3,1.098,0.678,1.009,1.334,1.296,0.878,0.618,1.365,1.792,0.988,0.513,1.252,1.247,1.657,0.369,0.447,1.243,1.082
4930486F22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm35636,0,0,0,0,0,0,0.012,0,0,0.13,0,0,0,0,0,0,0,0
Timp3,27.707,28.419,29.412,37.176,49.208,31.123,25.786,35.693,35.038,67.715,31.845,34.135,24.088,37.19,30.379,33.81,28.562,40.04
Gm6729,0.01,0,0,0,0,0,0,0.038,0,0,0,0,0,0.011,0,0,0,0
Gm5174,0.048,0.018,0.009,0.053,0.014,0.044,0.041,0.014,0.044,0.068,0.023,0.091,0.016,0.015,0,0.013,0.016,0.061
1810014B01Rik,3.05,2.399,1.975,1.712,2.664,3.415,1.662,2.884,3.281,2.767,1.689,3.006,1.947,2.892,2.09,3.4,3.767,2.326
Hsp90b1,404.111,424.227,113.204,128.87,300.265,386.502,703.465,260.417,282.359,582.514,255.927,346.867,404.726,422.47,288.668,662.985,525.021,437.017
Ttc41,1.369,1.169,0.667,0.481,1.063,1.501,0.743,0.988,1.652,1.319,1.51,1.483,0.872,1.254,0.961,0.763,1.618,1.424
Nt5dc3,5.386,3.22,2.634,2.537,4.76,3.889,3.525,3.602,4.47,8.087,2.948,4.327,3.943,6.152,3.034,6.6,4.995,5.773
Stab2,0.646,0.217,0.12,0.114,0.045,0.259,0.112,0.127,0.124,0.409,0.133,0.141,0.093,0.141,0.132,0.118,0.082,0.06
Gm36807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700113H08Rik,0,0,0,0,0,0.132,0,0.111,0,0,0.098,0,0.092,0,0,0,0,0
Ascl1,0.384,0.466,0.032,0.075,0.251,0.349,0.411,0.08,0.173,0.832,0.319,0.474,0.559,0.468,0.367,0.224,0.462,0.183
Gm29915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pah,0,0,0,0,0,0,0.087,0,0,0.093,0,0,0,0,0,0,0,0
Gm30073,0,0,0,0,0,0,0.234,0,0,0.282,0,0,0,0,0,0,0,0
Igf1os,0,0,0,0,0,0,0,0,0.085,0.049,0,0,0,0,0,0,0,0
Igf1,6.132,5.566,1.256,1.629,5.411,1.735,12.608,2.244,3.755,29.181,2.161,5.049,2.231,2.876,3.208,8.142,5.732,5.856
Tyms-ps,0,0.081,0,0,0,0,0.073,0,0,0.078,0.062,0.085,0,0,0,0,0,0.071
Gm30233,0.734,0.603,0.077,0.096,0.258,0.369,0.97,0.093,0.196,1.119,0.37,0.404,0.507,0.617,0.735,1.039,0.797,0.622
Pmch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parpbp,3.101,1.704,0.289,0.447,0.624,1.739,3.782,0.644,1.25,5.288,1.418,1.615,2.176,3.061,1.55,4.85,4.56,2.559
Gm6653,0.044,0.032,0.019,0.022,0,0.031,0.116,0.051,0.027,0.123,0.048,0.034,0,0.028,0.028,0.028,0.115,0.028
Nup37,11.256,10.146,3.679,4.346,7.464,10.213,14.404,7.684,8.063,14.733,7.842,9.331,9.138,8.808,9.405,19.679,13.034,12.63
Ccdc53,37.605,35.836,20.031,24.217,22.818,35.908,46.094,26.834,32.4,36.36,27.931,33.292,34.73,33.405,34.51,34.375,33.371,29.599
Dram1,7.896,4.716,3.26,1.852,7.153,2.351,4.183,7.756,5.803,23.287,1.914,6.782,1.478,2.144,2.451,9.187,7.869,6.29
Gm40734,0,0,0,0,0,0,0,0,0,0.258,0,0,0,0,0,0,0,0
Gm40733,0.215,0.079,0,0.752,0.061,0.151,0.071,0,0,0,0.06,0,0.216,0,0.07,0,0.14,0.069
Gnptab,17.799,12.778,4.015,6.581,7.921,16.692,12.529,8.405,11.605,19.432,7.966,9.558,9.101,11.976,10.279,14.469,13.512,11.06
Sycp3,0,0.447,0.061,0.076,0.084,0,0,0.72,0.764,0.534,0,1.085,0,0,0,0,0.207,0.303
Chpt1,57.749,89.146,42.117,42.503,97.246,104.561,53.364,124.076,90.511,80.823,44.366,153.078,62.89,94.86,60.535,48.844,98.674,104.519
Mybpc1,0,0,0,0.016,0,0,0,0,0.044,0,0,0,0,0,0,0,0.047,0
Spic,3.549,0.354,0.826,0.185,0.342,0.843,0.635,0.21,0.369,2.287,0.199,0.367,0.161,0.078,0.544,1.383,0.626,0.382
Gm4925,1.296,0.701,0.412,0.688,0.709,3.237,1.706,0.336,0.887,1.484,1.615,1.838,1.027,0.812,1.23,1.289,0.633,0.804
Arl1,190.336,183.067,66.994,119.305,156.811,192.545,289.651,166.902,178.021,240.846,103.591,206.226,234.084,260.854,150.424,301.051,252.268,254.403
Utp20,18.013,19.514,2.787,3.228,7.211,24.936,21.65,7.179,8.561,14.063,16.798,20.692,24.646,19.992,15.649,18.92,12.597,10.975
Slc5a8,67.412,103.051,16.505,40.498,25.058,204.613,101.67,48.552,45.497,41.789,74.101,80.048,91.094,77.387,79.805,47.259,48.347,47.201
Ano4,0.309,0.241,0.085,0.148,0.647,0.477,0.102,0.096,0.051,0,0.383,0.961,0.553,1.464,0.127,0.125,0.064,0.228
Gm30769,0,0,0,0,0.11,0,0,0,0.117,0,0,0,0,0.124,0,0,0,0
Gas2l3,2.814,2.125,0.507,0.814,0.972,2.361,3.328,1.009,1.792,5.23,2.39,1.742,1.918,2.323,2.477,4.719,3.208,3.268
Nr1h4,44.94,44.104,71.894,143.442,62.313,57.92,44.849,142.275,141.83,23.705,58.878,77.334,48.909,50.671,46.005,49.208,119.104,116.75
Slc17a8,0.323,0.232,0.187,0.151,0.147,0.487,0.167,0.442,0.668,0.133,0.319,0.345,0.376,0.436,0.191,0.334,0.518,0.217
Scyl2,20.649,19.25,8.573,14.012,12.084,22.225,22.047,19.711,21.502,23.1,11.313,23.129,21.129,22.285,18.048,28.279,25.681,21.464
1500026H17Rik,0.046,0.302,0.253,0.093,0.103,0.192,0.121,0.267,0.168,0.129,0.199,0.245,0.184,0.148,0.117,0.117,0.03,0.204
Actr6,5.628,3.779,2.466,2.12,3.378,4.341,4.033,3.406,4.201,6.487,2.604,3.661,4.42,3.887,3.167,5.618,5.441,3.938
Gm30963,0.054,0,0,0,0,0,0.185,0,0,0,0,0,0,0,0.07,0,0,0
Uhrf1bp1l,19.646,19.1,5.722,11.651,9.85,25.587,19.391,12.475,15.278,21.655,13.436,17.091,19.26,22.013,17.887,19.162,15.264,14.007
Gm31090,0.267,0,0,0,0,0.297,0,0.125,0,0.076,0.06,0.162,0.142,0.348,0.139,0.136,0.21,0.137
LOC108167827,0.273,0.379,0.052,0.164,0.275,0.3,0.21,0.07,0.074,0.084,0.233,0.275,0.213,0.305,0.205,0.102,0.129,0.052
Anks1b,0.123,0.244,0.373,0.316,0.427,0.496,0.117,0.406,0.267,0.055,0.064,0.322,0.094,0.127,0.06,0.061,0.194,0.223
Gm4184,157.161,152.948,86.758,126.355,185.888,108.777,261.499,90.711,118.752,262.752,123.448,117.927,127.4,131.447,135.701,245.42,184.405,181.669
Apaf1,10.901,8.707,3.174,7.935,4.673,10.545,16.014,5.336,7.096,15.71,7.758,6.095,8.072,8.727,7.984,14.674,9.886,9.884
Ikbip,10.979,8.313,4.531,5.395,11.535,7.944,10.433,8.514,8.544,24.2,7.428,9.553,9.88,16.354,8.352,10.683,8.661,12.309
Slc25a3,548.173,588.32,280.346,438.846,392.613,713.394,474.659,448.03,505.568,564.389,665.312,485.675,481.999,520.608,625.929,492.358,550.214,580.364
Tmpo,60.397,39.765,13.669,20.987,23.422,36.458,63.38,29.052,39.061,91.938,32.319,33.389,33.61,47.249,40.993,84.222,76.698,58.609
LOC102633753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm40736,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0
Gm31592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm31673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir135a-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rmst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0
Mir1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm20757,0,0,0,0,0,0,0,0,0,0.064,0,0,0,0,0,0,0,0
Gm40738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm31822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nedd1,11.997,9.116,3.117,3.96,5.363,11.941,12.352,5.496,7.544,14.45,7.397,10.248,10.859,10.607,8.447,13.127,10.588,8.293
Cfap54,0.076,0.012,0.048,0.063,0.063,0.044,0.049,0.079,0.124,0.139,0.048,0.154,0.041,0.077,0.051,0.14,0.033,0.055
Gm40739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm32468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm40740,0,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0,0.772,0,0
Gm40741,0,0,0,0,0,0,0,0,0,0.151,0,0,0,0,0.138,0,0,0
Cdk17,12.64,6.884,6.19,5.853,9.702,6.713,9.645,8.584,8.627,16.576,4.53,9.401,10.148,12.567,6.838,12.08,8.658,10.637
Mir1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elk3,10.942,4.301,4.692,2.784,5.076,3.993,5.706,3.401,4.352,25.11,4.041,2.9,2.907,3.888,4.401,9.04,4.463,4.041
Gm32551,0.031,0,0,0,0.106,0.13,0,0.072,0,0.131,0,0,0.041,0,0,0.079,0,0
Gm32688,0.411,0.401,0.121,0.573,1.271,1.333,0.361,0.64,0.506,0.974,0.622,0.207,0.366,0.178,0.714,0.703,0.714,0.524
Gm17745,0.296,0.288,0.172,0.306,0.114,0,0.259,0,0,0.139,0,0,0,0.387,0.254,0,0,0.509
Gm40742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir7688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lta4h,50.948,41.603,23.169,28.844,28.521,41.125,47.576,39.684,42.635,51.258,27.738,37.772,38.529,41.481,35.822,47.547,50.586,39.041
Hal,1.717,1.527,0.998,0.556,1.55,1.582,2.279,1.946,1.339,6.896,0.738,1.687,1.285,1.102,1.195,2.917,2.414,1.952
Amdhd1,0.058,0.185,0.117,0.06,0.076,0.243,0,0.067,0,0.041,0.064,0,0.077,0.083,0,0,0,0.082
Ccdc38,0,0,0.017,0,0.034,0,0,0,0,0.112,0.021,0,0,0,0,0,0,0
Snrpf,54.583,34.059,26.844,29.711,35.828,29.567,64.69,26.899,34.692,75.602,38.383,31.432,28.758,37.458,40.079,70.496,58.513,55.351
4933408J17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ntn4,4.4,3.098,3.452,4.528,4.176,9.612,2.575,6.046,7.151,6.299,1.827,6.463,7.402,6.877,4.099,1.922,5.319,4.847
Gm8580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15915,1.574,1.542,0.08,0.185,0.823,1.939,0.804,0.307,0.754,0.873,1.514,1.057,0.232,0.682,2.179,0.782,0.686,0.558
Usp44,0.129,0.118,0.02,0.028,0.042,0.064,0,0.093,0.066,0.038,0.026,0,0,0.024,0.047,0,0.035,0.024
Metap2,66.942,57.995,29.274,38.471,42.901,59.057,78.718,52.072,57.769,86.565,37.096,55.618,56.907,64.054,49.636,98.423,83.955,68.434
Vezt,3.204,2.766,1.112,1.824,1.7,2.92,3.181,2.404,2.914,3.804,2.049,2.582,2.321,2.837,2.466,2.753,3.121,2.324
Mir331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fgd6,8.429,9.493,3.328,6.698,4.405,9.589,8.57,7.453,6.882,8.026,6.537,8.511,9.769,7.952,9.711,7.431,7.985,7.759
Nr2c1,4.498,4.391,3.247,3.676,3.1,5.976,3.451,6.074,6.694,6.011,2.613,5.1,4.689,5.208,3.527,4.224,6.652,4.496
Ndufa12,153.723,155.755,114.652,162.159,145.079,134.798,162.207,152.45,154.959,150.79,151.827,154.821,148.54,172.44,155.485,161.798,173.341,185.54
Gm32749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmcc3,32.501,39.737,25.096,44.636,25.906,36.375,45.991,45.75,34.874,28.693,27.34,56.264,62.591,42.427,46.551,44.771,45.824,45.261
Gm32827,0.013,0,0,0,0,0,0,0,0,0,0,0.02,0.017,0,0.017,0,0.017,0
Gm40743,0,0,0,0.373,0,1.478,0,0.413,0,2.512,0,0,1.413,1.393,0,0.455,0,0
Mir7211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm32898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cep83os,3.906,3.735,1.609,3.475,2.021,5.587,2.972,3.418,3.87,3.74,3.238,4.037,3.841,3.9,3.933,2.427,2.889,3.555
Cep83,15.186,14.73,4.39,7.474,8.612,13.327,20.411,8.508,10.157,22.039,11.002,9.786,12.268,13.07,14.387,22.745,15.395,12.815
Plxnc1,3.675,0.608,0.821,0.264,0.529,0.457,1.117,0.409,0.722,2.419,0.206,0.578,0.552,0.615,0.66,1.129,0.437,0.416
Gm40744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29684,0,0,0.125,0.153,0.085,0,0.101,0.089,0.094,0.053,0,0.059,0,0,0,0.049,0.151,0.049
Gm33091,0.303,0.121,0.161,0.306,0.093,0.039,0.4,0.161,0.305,0.039,0.059,0.17,0.148,0.214,0.035,0.07,0.254,0.213
Cradd,6.226,4.697,2.611,5.444,5.049,4.834,5.582,5.449,5.957,7.506,4.822,4.768,4.143,5.765,5.856,5.003,5.901,4.842
2310039L15Rik,0,0,0,0,0,0,0.186,0,0,0,0,0,0,0,0,0,0,0
Socs2,20.138,18.691,14.542,32.036,19.513,21.319,21.998,22.432,27.187,20.783,13.504,21.316,22.245,18.971,16.047,12.403,20.361,26.062
Gm33230,0.059,0,0.099,0.119,0,0.167,0.154,0.137,0.29,0.082,0.062,0.36,0.079,0.154,0,0.075,0.234,0.229
5730420D15Rik,0.132,0,0,0.275,0.23,0.551,0.086,0.223,0.157,0.186,0.372,0.299,0.425,0,0.342,0,0.259,0.169
Mrpl42,154.732,139.887,97.568,127.469,144.161,135.675,153.867,147.845,149.465,171.397,137.2,165.207,167.079,173.771,133.75,200.627,171.115,175.726
LOC108167829,0,0,0,0.217,0.24,0.29,0.41,0,0.255,0,0,0,0.139,0.135,0,0,0.135,0.264
Ube2n,81.252,69.734,39.168,53.719,59.459,57.96,83.14,50.682,58.373,104.558,47.886,58.316,64.964,63.476,61.514,102.136,85.641,80.907
Nudt4,248.775,321.075,256.017,367.835,213.47,276.625,236.642,304.925,289.376,179.997,228.824,269,322.972,270.168,315.765,152.763,249.793,227.517
Mir3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm33336,0,0,0.058,0.068,0,0.092,0,0,0,0,0,0,0.177,0,0,0,0,0
4732465J04Rik,4.685,5.518,8.855,2.763,4.131,7.638,2.889,6.196,4.998,3.105,7.957,7.102,9.225,7.105,6.726,3.611,4.671,2.978
Gm33377,0.49,0.316,0.061,0,0.211,1.631,0.301,0.231,0.088,0.221,0.331,0.064,0.402,0.421,0.426,0.092,0.093,0.107
Gm33543,0,0,0,0.171,0.048,0,0,0,0,0.059,0.047,0.063,0.167,0,0.054,0,0,0.053
Eea1,19.746,19.488,6.993,12.314,12.099,21.706,23.353,17.314,18.044,22.142,15.367,21.663,22.317,21.875,18.375,23.426,19.839,18.392
Gm40746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930459C07Rik,0.317,0,0.054,0.065,0,0,0.335,0.147,0.232,0.089,0.069,0.096,0.085,0.164,0.082,0,0.165,0
Gm40747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm40748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm33782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0,0,0
Gm33843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btg1,123.006,126.277,66.239,59.755,50.45,133.41,99.679,62.893,65.441,96.064,76.862,88.623,99.468,70.338,117.279,55.621,48.753,45.799
Gm33897,0,0,0,0,0,0.338,0,0,0,0.171,0,0,0,0,0,0,0,0
LOC108167830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0,0,0
Gm33981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930556N09Rik,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0.203,0,0,0,0
Gm34044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34114,0.114,0.125,0.097,0.087,0.336,0.08,0.151,0.379,0.14,0.946,0.216,0.856,0.077,0.259,0.242,0.109,0.177,0.11
Mir3966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dcn,231.485,217.969,165.799,204.759,352.563,180.277,239.519,313.79,225.562,860.961,196.089,241.897,172.274,246.268,264.696,308.821,186.732,240.863
Lum,46.997,55.662,10.145,7.7,51.785,29.212,43.417,15.844,19.19,110.178,37.052,51.681,46.557,54.954,47.659,40.567,21.886,37.265
4930473O22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kera,0,0,0,0.105,0.058,0,0,0,0,0,0,0,0.151,0,0,0.066,0,0
Gm40749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epyc,0.049,0,0,0,0,0,0,0,0.122,0.612,0.05,0.152,0.132,0.064,0.864,0,0,0
Gm10754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccer1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930525C09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm8633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm40750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34346,0.122,0,0,0.041,0,0,0,0,0,0.114,0,0,0,0.053,0.052,0,0.053,0
Atp2b1,49.947,65.008,22.604,63.445,39.88,88.855,34.869,97.586,72.287,54.273,42.986,82.269,89.458,63.201,64.082,54.903,83.236,113.753
Poc1b,15.18,10.995,9.422,10.899,10.491,10.723,11.795,14.173,13.994,18.314,7.813,10.551,13.261,14.012,9.531,19.307,18.45,18.824
Galnt4,60.118,39.198,31.487,43.767,46.172,57.692,51.013,83.334,73.579,52.281,25.961,60.382,65.684,80.256,37.686,72.185,91.136,104.782
Gm34574,0.171,0.288,0,0,0,0.269,0.134,0,0,0,0.354,0,0.17,0.101,0.413,0.313,0,0
Gm34777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusp6,29.542,22.291,11.652,12.604,23.226,21.564,37.527,15.398,14.949,58.827,27.822,25.019,35.88,27.907,28.369,51.996,30.517,31.108
